id,nombre,descripcion,categoria,precio,imagen,codigo,stock
1,Abaco Chico baco,Abaco Chico baco,Papeleria,30,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501174995046.jpg,7501174995046,0
2,Abaco grande Baco,Abaco grande Baco,Papeleria,59,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501174995053.jpg,7501174995053,0
3,abatelenguas,abatelenguas,Papeleria,0.5,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/000000030052.jpg,000000030052,135
4,Abrazadera 1 1/4 a 2 Fiero,Abrazadera 1 1/4 a 2 Fiero,Ferreteria,16,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501206694015.jpg,7501206694015,8
5,Abrazadera 1 Fiero,Abrazadera 1 Fiero,Ferreteria,11,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/33201321651.jpg,33201321651,3
6,Abrazadera 3/4 a 1 1/2 Fiero,Abrazadera 3/4 a 1 1/2 Fiero,Ferreteria,11,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501206693995.jpg,7501206693995,2
7,Abrazadera 3/8 Fiero,Abrazadera 3/8 Fiero,Ferreteria,9,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501206693940.jpg,7501206693940,9975
8,Abrazadera Acero 1/2 a 3/4 Fiero,Abrazadera Acero 1/2 a 3/4 Fiero,Ferreteria,12,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501206693957.jpg,7501206693957,19
9,Abrazadera Acero 3/8 Fiero,Abrazadera Acero 3/8 Fiero,Ferreteria,6,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/488646646.jpg,488646646,99965
10,Abrazadera Acero 5/8 Fiero,Abrazadera Acero 5/8 Fiero,Ferreteria,7,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/84615164312654.jpg,84615164312654,99969
11,Abrazadera Fiero 2 1/4,Abrazadera Fiero 2 1/4,Ferreteria,16,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501206694053.jpg,7501206694053,99968
12,Abrazadera Fiero 3/16,Abrazadera Fiero 3/16,Ferreteria,18,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501206694091.jpg,7501206694091,99964
